DetalleID,PedidoID,ProductoID,Cantidad,PrecioUnitario
178,60,7,3,901.54
179,61,6,3,334.62
180,62,24,4,873.81
181,62,38,2,24.65
182,62,8,3,115.47
183,63,39,2,54.86
184,63,3,4,603.3
185,63,34,1,31.03
186,63,38,1,25.23
187,64,32,2,60.0
188,64,1,2,2279.15
189,64,39,4,52.75
190,64,6,4,350.89
191,64,2,1,398.86
192,65,27,4,40.39
193,66,38,2,23.82
194,66,5,4,96.22
195,66,26,1,260.76
196,67,38,4,25.36
197,67,34,4,30.07
198,67,4,3,148.48
199,67,17,1,202.44
200,67,37,3,34.27
201,68,11,1,93.09
202,68,16,2,86.28
203,68,22,1,22.58
204,68,23,3,24.44
205,69,4,1,144.82
206,69,8,2,116.34
207,69,31,1,24.71
208,69,13,4,68.93
209,70,21,3,15.57
210,70,15,1,615.43
211,70,11,3,92.32
212,71,10,4,80.34
213,71,14,3,190.05
214,71,39,1,56.41
215,72,30,2,13.24
216,72,29,3,43.31
217,72,23,3,25.38
218,72,33,2,136.28
219,73,32,2,57.77
220,74,29,2,41.29
221,74,38,1,25.27
222,74,36,1,91.98
223,74,37,3,35.92
224,75,15,1,625.8
225,75,38,4,25.63
226,75,20,4,19.14
227,76,27,1,40.18
228,77,37,1,34.84
229,77,23,2,25.66
230,77,14,4,199.36
231,77,27,1,40.06
232,77,5,4,101.05
233,78,28,1,51.88
234,78,14,1,188.62
235,78,37,3,36.16
236,79,2,3,383.62
237,80,24,2,875.88
238,80,10,1,80.64
239,80,37,1,35.04
240,80,21,4,14.9
241,80,17,1,207.14
242,81,12,2,260.38
243,81,2,1,408.99
244,81,5,1,95.21
245,81,7,4,838.48
246,82,14,4,182.81
247,82,13,1,67.94
248,83,36,3,92.33
249,83,39,1,54.46
250,83,18,1,519.1
251,84,1,1,2343.86
252,84,12,4,256.22
253,84,9,2,135.41
254,84,2,1,387.89
255,85,22,3,23.44
256,85,35,3,90.63
257,85,18,2,502.75
258,85,7,2,902.81
259,85,1,4,2228.86
260,86,15,4,627.48
261,86,10,3,83.56
262,87,8,3,121.91
263,87,22,1,22.31
264,87,24,3,904.45
265,88,17,2,205.55
266,88,31,3,24.06
267,88,10,3,81.33
268,88,14,3,193.82
269,88,4,2,154.83
270,89,2,3,401.4
271,89,32,2,58.03
272,89,28,2,51.22
273,89,23,4,25.56
274,90,34,1,29.28
275,90,21,3,14.56
276,91,18,3,492.82
277,92,30,3,13.58
278,92,2,1,396.9
279,92,11,1,87.23
280,93,17,4,190.76
281,94,26,4,250.06
282,95,30,1,12.91
283,95,35,1,92.77
284,96,32,2,57.97
285,96,27,4,39.52
286,97,22,2,22.11
287,97,31,4,23.76
288,97,27,2,38.26
289,98,37,3,35.52
290,98,5,4,100.89
291,98,6,3,362.79
292,99,19,3,152.38
293,99,7,2,917.63
294,99,3,2,598.65
295,99,5,2,99.23
296,100,18,4,495.59
297,100,21,2,15.19
298,100,38,2,24.09
299,100,31,1,24.69
300,100,26,2,255.86
301,101,34,1,30.48
302,101,24,1,871.43
303,101,14,2,195.37
304,102,24,4,939.7
305,102,15,2,587.18
306,102,34,3,30.6
307,102,2,4,379.98
308,103,8,3,119.28
309,103,2,2,390.78
310,104,20,1,18.29
311,105,2,4,397.47
312,105,25,4,58.13
313,105,30,4,12.37
314,106,31,1,25.99
315,106,20,2,18.36
316,107,30,2,12.74
317,107,4,3,145.13
318,107,14,3,193.39
319,107,36,4,89.46
320,107,18,4,492.48
321,108,12,3,247.49
322,108,26,2,247.55
323,108,36,3,89.7
324,108,21,4,14.62
325,108,35,2,89.87
326,109,4,4,142.97
327,109,8,1,118.81
328,109,17,2,190.28
329,109,29,4,44.65
330,110,22,2,24.09
331,110,19,4,143.91
332,111,5,1,104.49
333,111,28,1,50.44
334,111,9,2,126.18
335,111,38,3,26.0
336,111,15,3,586.34
337,112,26,2,243.75
338,113,21,3,15.04
339,114,19,1,156.95
340,114,3,2,585.65
341,114,21,1,15.6
342,114,10,1,78.92
343,115,22,3,22.73
344,115,13,1,73.03
345,116,35,1,87.1
346,117,5,1,103.94
347,117,25,2,60.09
348,117,1,1,2187.1
349,117,38,2,24.56
350,117,36,4,87.33
351,118,38,3,23.77
352,118,18,3,502.35
353,118,34,4,29.52
354,118,21,2,15.02
355,119,7,3,893.22
356,119,15,4,592.04
357,119,36,3,93.24
358,119,17,4,200.03
359,120,7,3,852.31
360,120,1,1,2353.43
361,120,36,4,94.39
362,121,1,1,2283.62
363,121,38,3,25.8
364,121,25,3,61.07
365,121,35,3,92.79
366,122,34,2,31.26
367,122,2,2,382.51
368,122,38,4,24.53
369,122,20,2,18.97
370,123,31,4,25.29
371,123,19,3,155.39
372,124,36,4,87.66
373,124,4,2,145.41
374,125,14,1,181.75
375,126,16,4,90.27
376,126,8,3,123.51
377,126,11,1,92.46
378,127,30,3,12.37
379,127,19,4,146.11
380,127,27,2,38.06
381,128,25,4,58.93
382,128,23,4,25.08
383,128,20,2,19.07
384,128,27,4,38.84
385,129,15,1,600.9
386,129,19,4,142.74
387,129,32,2,58.57
388,129,30,1,12.6
389,130,15,3,600.61
390,131,15,4,571.51
391,131,26,2,244.56
392,131,11,2,86.77
393,131,38,3,24.81
394,131,28,2,52.42
395,132,16,1,93.74
396,132,20,2,19.67
397,132,5,2,102.84
398,132,23,4,24.82
399,132,14,3,184.62
400,133,7,4,877.84
401,134,37,4,36.13
402,135,33,3,136.34
403,135,25,2,60.97
404,135,17,1,205.9
405,135,10,2,81.74
406,136,34,2,30.63
407,136,21,2,14.96
408,137,6,3,350.02
409,137,23,1,24.24
410,138,2,2,385.82
411,138,27,2,40.74
412,138,20,3,18.73
413,139,23,2,26.13
414,139,32,4,59.87
415,139,20,1,19.38
416,140,7,4,865.53
417,140,23,2,25.4
418,140,18,2,483.36
419,140,9,2,135.58
420,141,17,1,190.44
421,141,8,3,120.9
422,141,19,2,156.2
423,142,34,4,30.01
424,142,35,2,91.31
425,142,22,3,23.0
426,142,8,4,120.88
427,142,9,3,136.24
428,143,3,3,605.42
429,143,33,3,135.36
430,143,29,3,44.66
431,143,23,1,25.6
432,144,36,3,89.39
433,145,29,2,44.45
434,145,21,3,15.32
435,145,34,1,31.3
436,145,38,4,25.85
437,146,16,4,90.58
438,146,21,4,14.35
439,146,23,2,25.06
440,147,19,1,154.96
441,148,22,3,22.33
442,148,21,3,15.15
443,148,32,1,58.17
444,148,5,4,99.44
445,148,14,3,194.96
446,149,28,3,52.0
447,149,38,4,24.87
448,149,7,3,918.01
449,149,32,3,61.49
450,150,37,2,35.52
451,150,19,1,153.75
452,150,1,1,2268.88
453,150,33,2,137.25
454,151,21,2,15.41
455,151,17,1,195.46
456,151,8,1,115.91
457,151,23,1,24.91
458,151,14,4,185.95
459,152,22,3,23.49
460,152,15,2,608.87
461,152,3,3,597.18
462,152,8,3,114.26
463,153,30,1,12.85
464,154,12,1,260.6
465,154,37,3,34.26
466,154,19,3,144.33
467,155,38,4,25.74
468,156,36,4,88.0
469,156,20,3,18.42
470,156,30,1,13.21
471,157,9,3,130.53
472,157,20,3,18.63
473,158,24,2,891.62
474,158,36,1,92.65
475,158,22,3,23.71
476,159,1,3,2221.62
477,159,8,4,118.59
478,159,28,2,51.75
479,159,32,4,57.57
480,160,33,2,141.25
481,160,6,4,337.13
482,160,14,4,196.03
483,161,15,3,590.06
484,161,11,2,92.1
485,161,30,3,12.98
486,162,12,1,259.41
487,162,6,4,348.32
488,163,14,4,183.4
489,163,35,3,86.38
490,164,2,4,393.63
491,164,27,4,40.85
492,164,39,4,54.79
493,165,33,3,135.31
494,166,11,2,90.76
495,166,16,3,86.0
496,167,38,2,26.12
497,167,8,4,115.19
498,168,16,1,88.03
499,168,15,1,607.59
500,168,12,1,258.63
501,169,20,4,19.75
502,169,34,3,29.81
503,170,28,3,47.91
504,170,2,1,409.21
505,170,17,4,206.09
506,170,4,3,143.39
507,171,39,2,56.96
508,171,6,2,366.23
509,172,28,3,52.48
510,172,35,3,94.18
511,173,8,2,120.97
512,173,31,2,25.51
513,173,28,2,52.08
514,173,14,1,183.16
515,174,23,1,26.02
516,174,12,2,261.75
517,174,21,4,15.12
518,175,27,3,39.53
519,176,27,4,38.11
520,176,18,1,506.84
521,176,6,3,351.55
522,176,16,2,92.99
523,177,34,2,29.49
524,177,35,3,92.49
525,177,26,3,254.85
526,177,28,4,51.07
527,178,19,3,152.83
528,179,11,3,93.23
529,179,29,1,42.43
530,179,38,1,23.9
531,180,7,1,909.49
532,180,9,2,128.17
533,181,31,3,25.68
534,181,37,1,35.38
535,181,23,4,25.95
536,181,19,4,153.96
537,182,20,2,18.11
538,182,10,1,83.18
539,182,22,2,22.12
540,183,7,4,883.09
541,183,27,2,40.34
542,183,35,4,90.4
543,183,28,1,49.12
544,184,29,4,43.46
545,185,31,3,25.62
546,185,28,1,49.68
547,186,27,4,38.29
548,186,21,4,15.74
549,186,4,3,152.15
550,186,35,2,87.0
551,186,19,3,147.69
552,187,20,3,19.39
553,187,34,2,31.3
554,187,5,2,98.36
555,188,17,3,206.28
556,188,21,2,14.39
557,188,16,3,93.81
558,188,3,4,628.33
559,189,25,3,60.0
560,189,36,3,92.01
561,189,37,2,35.11
562,189,34,2,31.16
563,190,36,2,87.93
564,190,32,2,59.64
565,190,38,3,23.87
566,190,31,1,25.39
567,191,33,2,135.13
568,192,3,1,601.66
569,192,35,3,91.08
570,192,5,1,104.72
571,192,18,4,494.27
572,193,39,2,55.51
573,193,27,1,38.16
574,193,36,4,87.81
575,193,23,3,24.38
576,193,9,4,127.42
577,194,25,4,62.51
578,194,28,3,49.53
579,194,9,4,131.98
580,195,21,3,14.29
581,195,32,2,57.17
582,195,31,4,25.09
583,196,32,4,60.83
584,196,21,1,15.06
585,196,19,3,144.27
586,196,34,4,29.27
587,197,28,3,48.05
588,198,12,1,256.69
589,198,21,4,15.6
590,198,5,4,96.8
591,198,23,4,25.07
592,199,11,4,93.93
593,199,22,4,23.68
594,199,23,3,26.23
595,200,18,2,524.65
596,200,16,1,86.16
597,200,21,1,14.92
