PedidoID,ClienteID,SucursalID,EmpleadoID,FechaPedido,Estado,Total,Notas
59,32,16,14,2023-04-26 12:25:00,Completado,674.75,
60,42,1,8,2023-09-15 08:15:00,Completado,3834.45,
61,61,16,40,2024-07-19 17:48:00,En proceso,1003.86,
62,13,16,27,2024-07-01 10:59:00,Completado,3890.95,
63,12,1,19,2023-10-24 14:15:00,Completado,2579.18,
64,8,5,34,2024-11-24 09:30:00,Completado,6691.72,
65,58,4,2,2023-04-08 13:39:00,En proceso,161.56,
66,48,6,28,2024-10-10 10:27:00,En proceso,693.28,
67,50,10,19,2023-09-28 13:23:00,Completado,972.41,
68,86,3,20,2023-11-03 11:08:00,Completado,361.55,
69,84,4,28,2024-02-11 18:55:00,Enviado,677.93,
70,44,6,29,2023-02-06 14:52:00,Completado,939.1,
71,53,14,32,2024-10-23 14:25:00,Completado,947.92,
72,35,14,23,2023-12-02 11:50:00,En proceso,505.11,
73,41,4,7,2023-07-10 14:49:00,Enviado,115.54,
74,96,1,1,2023-06-16 15:04:00,Enviado,307.59,
75,24,2,26,2024-06-05 09:57:00,Completado,804.88,
76,45,6,32,2024-01-15 16:38:00,Cancelado,40.18,
77,56,1,25,2024-02-01 15:44:00,Completado,1327.86,
78,55,3,9,2024-08-08 17:05:00,Completado,348.98,
79,94,3,15,2024-05-24 17:46:00,Completado,1150.86,
80,2,14,32,2024-01-30 16:53:00,Completado,2134.18,
81,11,11,33,2023-03-05 19:54:00,Completado,4378.88,
82,100,12,25,2024-05-15 16:28:00,Completado,799.18,
83,29,8,25,2024-01-07 13:50:00,En proceso,850.55,
84,13,4,4,2023-11-20 09:41:00,Completado,4027.45,
85,90,17,18,2023-11-08 08:26:00,Completado,12068.77,
86,40,1,5,2023-10-07 17:42:00,Completado,2760.6,
87,70,20,19,2024-12-01 15:05:00,Completado,3101.39,
88,39,18,1,2024-12-03 18:47:00,En proceso,1618.39,
89,58,3,6,2024-06-06 18:09:00,Completado,1524.94,
90,79,19,32,2024-02-18 13:16:00,Enviado,72.96,
91,15,14,37,2023-09-24 20:31:00,Completado,1478.46,
92,55,13,20,2024-09-27 11:35:00,Completado,524.87,
93,34,11,25,2024-04-25 12:50:00,Cancelado,763.04,
94,3,7,19,2023-04-23 08:00:00,Enviado,1000.24,
95,48,5,21,2023-09-15 09:44:00,En proceso,105.68,
96,81,9,33,2023-02-28 10:23:00,Completado,274.02,
97,92,6,12,2023-03-26 19:42:00,Enviado,215.78,
98,87,11,40,2023-03-17 20:18:00,Cancelado,1598.49,
99,34,3,39,2024-12-30 11:28:00,Completado,3688.16,
100,33,1,22,2023-04-01 12:30:00,En proceso,2597.33,
101,78,1,2,2024-09-03 15:24:00,Completado,1292.65,
102,75,6,9,2023-07-07 17:34:00,Completado,6544.88,
103,35,6,27,2023-08-24 08:55:00,Cancelado,1139.4,
104,6,15,8,2024-03-19 08:12:00,En proceso,18.29,
105,99,4,30,2023-07-31 20:02:00,Enviado,1871.88,
106,57,1,22,2023-03-27 15:05:00,Cancelado,62.71,
107,73,5,12,2024-09-28 09:12:00,Completado,3368.8,
108,4,7,40,2024-03-30 08:59:00,Completado,1744.89,
109,9,3,15,2024-02-27 08:24:00,Completado,1249.85,
110,81,17,32,2024-01-04 15:33:00,Completado,623.82,
111,61,2,27,2024-08-11 13:46:00,En proceso,2244.31,
112,57,4,13,2024-02-27 11:06:00,Completado,487.5,
113,98,6,13,2023-08-05 17:44:00,Completado,45.12,
114,18,8,27,2023-11-29 14:34:00,Completado,1422.77,
115,74,17,30,2023-02-02 10:26:00,Completado,141.22,
116,100,11,37,2024-09-27 14:43:00,Completado,87.1,
117,6,10,30,2023-03-30 19:58:00,Completado,2809.66,
118,100,19,26,2024-11-17 08:32:00,Completado,1726.48,
119,75,5,40,2024-07-13 12:46:00,En proceso,6127.66,
120,20,1,22,2023-03-11 08:45:00,Completado,5287.92,
121,44,7,5,2023-05-12 13:44:00,Completado,2822.6,
122,57,18,38,2023-01-26 11:24:00,Completado,963.6,
123,61,12,20,2023-06-07 12:01:00,Completado,567.33,
124,90,11,31,2023-03-13 09:55:00,Cancelado,641.46,
125,40,4,15,2024-04-30 18:59:00,Enviado,181.75,
126,13,11,34,2023-11-23 18:17:00,Enviado,824.07,
127,50,16,37,2024-01-09 12:43:00,Completado,697.67,
128,13,19,33,2024-08-19 09:05:00,En proceso,529.54,
129,24,7,1,2023-07-11 15:25:00,Completado,1301.6,
130,41,20,32,2024-12-24 14:01:00,En proceso,1801.83,
131,30,20,22,2023-07-20 19:56:00,Enviado,3127.97,
132,76,17,13,2023-06-18 18:24:00,Cancelado,991.9,
133,35,6,3,2023-08-13 20:25:00,Completado,3511.36,
134,45,18,27,2024-05-08 13:19:00,Completado,144.52,
135,2,16,8,2024-12-06 17:19:00,Cancelado,900.34,
136,34,14,7,2024-02-04 19:41:00,Completado,91.18,
137,45,1,15,2024-09-14 13:12:00,Completado,1074.3,
138,3,13,14,2023-07-27 17:18:00,En proceso,909.31,
139,88,2,8,2024-11-17 19:29:00,Enviado,311.12,
140,48,19,4,2024-01-18 10:09:00,Completado,4750.8,
141,12,9,18,2023-07-07 13:12:00,Cancelado,865.54,
142,62,2,39,2024-06-29 08:23:00,Cancelado,1263.9,
143,64,10,13,2024-08-25 08:39:00,En proceso,2381.92,
144,27,2,38,2023-04-28 17:08:00,Completado,268.17,
145,67,5,11,2024-05-15 12:55:00,Completado,269.56,
146,33,8,19,2024-03-18 12:05:00,Completado,469.84,
147,49,17,30,2023-10-10 09:26:00,Completado,154.96,
148,17,16,9,2023-10-29 17:08:00,Completado,1153.25,
149,11,12,21,2024-07-09 15:14:00,Completado,3193.98,
150,93,11,31,2023-01-10 17:08:00,Completado,2768.17,
151,58,20,26,2023-07-03 15:09:00,Completado,1110.9,
152,97,15,4,2023-05-19 19:50:00,Completado,3422.53,
153,19,8,1,2024-07-09 14:02:00,Cancelado,12.85,
154,96,14,16,2023-04-05 14:02:00,Completado,796.37,
155,63,11,33,2024-06-29 19:12:00,Cancelado,102.96,
156,42,7,25,2024-07-29 19:20:00,Completado,420.47,
157,38,5,10,2023-12-28 09:19:00,Enviado,447.48,
158,79,17,32,2024-06-24 19:50:00,Enviado,1947.02,
159,56,15,21,2024-10-03 16:11:00,Cancelado,7473.0,
160,61,12,12,2024-06-23 09:20:00,Completado,2415.14,
161,49,10,12,2024-10-28 14:55:00,Cancelado,1993.32,
162,100,20,38,2024-11-26 19:05:00,Completado,1652.69,
163,7,11,18,2023-09-23 16:53:00,Completado,992.74,
164,77,4,40,2024-10-27 19:59:00,Cancelado,1957.08,
165,28,4,39,2023-06-24 17:56:00,Completado,405.93,
166,53,20,12,2023-11-25 17:37:00,Completado,439.52,
167,5,6,2,2024-05-21 13:28:00,Completado,513.0,
168,100,18,10,2024-09-27 20:57:00,Completado,954.25,
169,15,20,12,2023-04-17 15:54:00,Completado,168.43,
170,97,6,7,2023-01-31 20:55:00,Enviado,1807.47,
171,14,11,38,2023-07-11 18:20:00,Enviado,846.38,
172,75,16,28,2024-07-03 12:56:00,Enviado,439.98,
173,15,19,23,2023-05-26 12:46:00,Completado,580.28,
174,11,7,14,2024-09-26 08:52:00,Enviado,610.0,
175,30,11,19,2023-02-15 08:02:00,Completado,118.59,
176,73,7,26,2024-06-06 13:34:00,Enviado,1899.91,
177,34,8,8,2023-01-10 15:48:00,Enviado,1305.28,
178,47,17,2,2024-02-21 17:52:00,Completado,458.49,
179,22,8,1,2024-05-23 18:48:00,Completado,346.02,
180,81,1,19,2023-12-02 19:30:00,Completado,1165.83,
181,70,6,23,2024-03-01 13:51:00,Completado,832.06,
182,95,2,11,2023-08-14 11:09:00,Completado,163.64,
183,40,1,40,2023-02-05 15:05:00,Completado,4023.76,
184,20,4,15,2024-06-23 18:10:00,Completado,173.84,
185,54,10,22,2024-09-13 13:46:00,Enviado,126.54,
186,58,20,30,2023-12-14 20:14:00,Completado,1289.64,
187,64,5,18,2023-04-25 12:16:00,En proceso,317.49,
188,12,20,26,2023-04-08 12:02:00,Completado,3442.37,
189,70,11,36,2023-04-29 08:04:00,Completado,588.57,
190,18,10,3,2024-03-20 08:10:00,Completado,392.14,
191,73,5,8,2024-05-06 10:18:00,Completado,270.26,
192,24,2,38,2023-11-02 08:16:00,Cancelado,2956.7,
193,37,10,38,2024-10-19 08:51:00,Enviado,1083.24,
194,39,17,24,2023-08-17 17:20:00,Completado,926.55,
195,11,6,20,2024-11-28 13:19:00,Enviado,257.57,
196,18,12,10,2023-01-05 08:28:00,Enviado,808.27,
197,81,3,8,2024-09-23 13:17:00,Completado,144.15,
198,50,3,37,2023-06-11 20:32:00,Completado,806.57,
199,100,1,33,2024-01-12 10:50:00,Enviado,549.13,
200,73,7,28,2023-11-06 18:10:00,Completado,1150.38,
